,study,Citation,n_1,n_2,mean_age_1,mean_age_2,domain,Miyake,stask,Task Description,DV,Log transformed?,g,var.g,se.g
101,"Bouazzaoui, 2010","Bouazzaoui, B., Isingrini, M., Fay, S., Angel, L., Vanneste, S., Clarys, D., & Taconnat, L. (2010). Aging and self-reported internal and external memory strategy uses: The role of executive functioning. Acta psychologica, 135(1), 59-66.",55,73,31.7,69.24,shifting,yes,WCST,Participants must sort cards based on rules learned while completing the task.,Number of perseverative errors,no,-0.366927359,0.113367712,0.336701221
102,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter in one minute.,Number of words produced in 3 minutes,no,1.51116704,0.130779048,0.361633859
103,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible given a category in one minute.,Number of words produced in 3 minutes,no,0.527596941,0.094248032,0.306998424
104,"Bunce, 2012","Bunce, D., Young, M. S., Blane, A., & Khugputh, P. (2012). Age and inconsistency in driving performance. Accident Analysis & Prevention, 49, 293-299.",24,21,21.29,71.24,processing speed,no,Choice RT,Participants were instructed to indicate the location of a stimulus as quickly as possible.,RT in milliseconds,no,1.813298847,39.80401785,6.309042546
105,,,,,,,processing speed,no,Choice RT,Participants were instructed to indicate the location of a stimulus as quickly as possible.,RT in milliseconds,no,2.014892115,155.3952765,12.46576418
106,,,,,,,inhibition,no,Visual Search Task,Participants responded either yes or no if the target stimulus was present.,RT in milliseconds,no,1.716094784,220.8024302,14.85942227
107,,,,,,,inhibition,no,Flanker Task,Participants responded to direction of central arrow by pressing the key that corresponded to the direction.,RT in millisceonds on incongruent,no,1.082390464,577.9551751,24.04069831
108,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,RT in millisceonds on incongruent,no,1.631156763,456.8933596,21.37506397
109,,,,,,,inhibition,yes,Stroop,"Participants were presented with either left or right pointing arrows on either the left, center, or right of the screen. Participants responded to whether the direction and location of the arrow were the same or neutral, meaning arrows were presented in the center of the screen.",RT in millisceonds on incongruent,no,2.549921691,64.15784016,8.009858935
110,"Barry, 2016","Barry, R. J., De Blasio, F. M., & Cave, A. E. (2016). Sequential processing in young and older adults in the equiprobable auditory Go/NoGo task. Clinical Neurophysiology, 127(5), 2273-2285.",20,20,20.4,68.2,inhibition,no,Go/No-go Task,Participants were instructed to press a button when they heard a target tone and not to respond to non-targets.,RT to Go stimuli in milliseconds,no,0.44322815,41.33298057,6.429073072
111,"Campbell, 2012","Campbell, K. L., Grady, C. L., Ng, C., & Hasher, L. (2012). Age differences in the frontoparietal cognitive control network: implications for distractibility. Neuropsychologia, 50(9), 2212-2223.",12,12,21.67,67.83,updating,no,n-back,Participants viewed a series of picture and letter stimuli and were instructed to press a button whenever the same stimulus appeared twice in a row. Participants were also instructed to ignore stimuli from unattended modality.,"Percent correct hits (attend pictures, words)",no,1.500469194,0.155576457,0.394431815
112,,,,,,,updating,no,n-back,Participants viewed a series of picture and letter stimuli and were instructed to press a button whenever the same stimulus appeared twice in a row. Participants were also instructed to ignore stimuli from unattended modality.,"Percent correct hits (attend letters, words)",no,0.845277072,0.155798831,0.394713606
113,"Capuana, 2012","Capuana, L. J., Dywan, J., Tays, W. J., & Segalowitz, S. J. (2012). Cardiac workload and inhibitory control in younger and older adults. Biological psychology, 90(1), 60-70.",22,19,20.5,72.3,inhibition,no,Modified Working Memory Task,"Participants viewed a string of letters, then were asked to type in the letters they were supposed to remember. After participants pressed the spacebar when letter on the screen did not match the string of letters presented at the beginning of the trial (go trials) and not to respond when letter did match one of the letters presented at the beginning of the trial (no-go trials).",RT in milliseconds for low load trials,no,1.854398389,44.2253091,6.650211207
114,"Carvalho, 2012","Carvalho, J. C. N., de Oliveira Cardoso, C., Shneider-Bakos, D., Kristensen, C. H., & Fonseca, R. P. (2012). The effect of age on decision making according to the Iowa gambling task. The Spanish journal of psychology, 15(2), 480-486.",40,40,25.5,67.4,inhibition,no,Iowa Gambling Task,Participants were instructed to select one of the four card decks in each trial. Two of the decks (A and B) result in either high gains or high losses and the other two decks (C and D) result in low gains or low losses.,Total score of advantageous choices = sum of choices of favorable decks (C & D) minus sum of choices of risky decks (A & B),no,0.23620524,3.392319331,1.841825
115,"Vandermorris, 2013","Vandermorris, S., Sheldon, S., Winocur, G., & Moscovitch, M. (2013). Differential contributions of executive and episodic memory functions to problem solving in younger and older adults. Journal of the International Neuropsychological Society, 19(10), 1087-1096.",18,18,18.8,73.2,updating,no,Digit Span,Participants were instructed to repeat a set of numbers,Highest string of repeated numbers,no,0.722778704,0.355066118,0.595874247
116,,,,,,,processing speed,no,Trail Making Test,Participants complete Trail A which entails connecting numbered or lettered circles in ascending order.,RT in seconds,no,1.469611704,2.504650206,1.582608671
117,,,,,,,shifting,no,Trail Making Test,Participants connected circles with numbers and lettersand were instructed to alternate between numbers and letters in ascending order.,RT in seconds,no,1.312889529,26.35569218,5.133779522
118,,,,,,,inhibition,yes,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,RT in seconds (interference score),no,0.927601447,0.111539095,0.333974692
119,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible given a category in one minute.,Number of correct responses,no,-0.126070718,2.41455583,1.553884111
120,,,,,,,updating,yes,Tower of London,Participants rearranged colored beads to match a target configuration following a set of rules.,Task score (RT in seconds/number of correct responses),no,1.104615315,2.233769547,1.494580057
121,,,,,,,updating,no,Brixton Task,Participants were asked to predict where the dot will appear next using knowledge from previous trials.,Number of errors,no,0.991114758,0.686363786,0.828470751
122,"Bucur, 2010","Bucur, B., & Madden, D. J. (2010). Effects of adult age and blood pressure on executive function and speed of processing. Experimental aging research, 36(2), 153-168.",26,22,29.5,67.77,processing speed,no,Digit Symbol Substitution Task,Participants are presented with digit-symbol pairs followed by a list of digits. Participants are asked to write down the corresponding symbol to each digit as fast as possible.,Number of correct digit symbol subsitutions,no,1.146681514,749.7103354,27.38083884
123,"Bialystok, 2008","Bialystok, E., Craik, F., & Luk, G. (2008). Cognitive control and lexical access in younger and older bilinguals. Journal of Experimental Psychology: Learning, memory, and cognition, 34(4), 859.",24,24,20.7,67.2,updating,no,Corsi Blocks Task,Participants viewed a demonstration of a tapping sequence and were instructed to repeat the sequence in the same order.,Longest sequence correctly recalled,no,-0.231037463,0.087929992,0.296529917
124,,,,,,,updating,no,Corsi Blocks Task,Participants viewed a demonstration of a tapping sequence and were instructed to repeat the sequence in the reverse order.,Longest sequence correctly recalled,no,0.300385534,0.090348697,0.300580599
125,,,,,,,updating,no,Verbal Fluency,Participants produced as many words as possible starting with a given letter in one minute.,Number of words produced,no,0.573114564,0.655317791,0.809517011
126,,,,,,,inhibition,no,Simon Task,Participants responded to direction of an arrow presented at various locations on the screen.,RT for side presentations on incongruent trials in millisenconds,no,0.662561061,201.6183761,14.19923857
127,,,,,,,inhibition,no,Stroop,Participants named the color of the target stimulus aloud as quickly as possible.,RT for congruent trials in milliseconds,no,0.592095265,234.2236698,15.30436767
128,,,,,,,inhibition,no,Sustained Attention Response task,"Digits were presented one at a time, and participants were instructed to press a button as quickly as possible when a digit appeared and not to respond to a specific digit.",Number of errors,no,-0.205324004,0.193949879,0.44039741
129,"Campbell, 2010","Campbell, K. L., Al-Aidroos, N., Fatt, R., Pratt, J., & Hasher, L. (2010). The effects of multisensory targets on saccadic trajectory deviations: eliminating age differences. Experimental brain research, 201(3), 385-392.",14,14,20.92,67.07,inhibition,yes,Anti-saccade Task,"Participants were instructed to look in the direction of the target cue, and an auditory tone sounded if participants failed to move their eyes. Distractor trials (early or late) occurred before the target cue appeared.",RT in milliseconds for early distractors on unimodal targets,no,4.130737968,1.98923505,1.410402442
130,"Cappell, 2010","Cappell, K. A., Gmeindl, L., & Reuter-Lorenz, P. A. (2010). Age differences in prefontal recruitment during verbal working memory maintenance depend on memory load. Cortex, 46(4), 462-473.",21,23,20.8,68.4,updating,no,Updating Task,"Participants viewed boxes flashing in a sequence, and were instructed to repeat the sequence in the same order.",Number of correct responses,no,1.530621516,0.110895108,0.333009171
131,,,,,,,updating,no,Updating Task,"Participants viewed boxes flashing in a sequence, and were instructed to repeat the sequence in the reverse order.",Number of correct responses,no,1.081492185,0.116483665,0.341297033
